A,B,C,D
300,e,119,A
301,c,100,A
302,b,107,B
303,d,180,A
304,d,134,B
305,e,160,A
306,b,62,C
307,e,193,B
308,a,119,B
309,d,112,C
310,a,26,B
311,a,33,A
312,a,146,C
313,b,166,B
314,b,200,C
315,a,94,B
316,c,165,C
317,c,21,A
318,e,45,B
319,d,156,C
320,c,130,B
321,c,14,C
322,a,140,C
323,b,187,A
324,a,179,C
325,c,159,B
326,b,29,B
327,e,180,C
328,e,84,C
329,d,138,B
330,a,135,C
331,d,63,B
332,d,192,B
333,d,135,B
334,a,5,A
335,e,144,A
336,b,98,C
337,c,76,B
338,b,45,A
339,d,10,B
340,e,173,B
341,b,173,A
342,d,189,C
343,d,112,B
344,d,143,B
345,e,80,C
346,b,73,C
347,a,190,A
348,b,165,B
349,c,100,C
350,a,69,A
351,b,195,B
352,c,66,C
353,e,177,B
354,a,179,C
355,d,58,C
356,c,126,B
357,d,143,C
358,b,121,B
359,d,69,B
360,d,17,C
361,a,127,A
362,a,42,B
363,e,76,B
364,a,90,C
365,e,131,B
366,d,72,A
367,e,2,A
368,c,30,B
369,d,159,C
370,d,7,B
371,a,94,C
372,b,82,B
373,b,178,C
374,b,77,C
375,b,38,C
376,a,76,C
377,d,11,A
378,d,27,B
379,d,71,C
380,a,99,C
381,b,82,B
382,e,164,B
383,a,189,A
384,d,47,C
385,d,135,B
386,a,187,C
387,c,94,B
388,a,83,C
389,d,12,B
390,c,127,B
391,e,58,C
392,e,37,A
393,d,14,B
394,a,83,C
395,b,134,B
396,a,121,A
397,e,96,B
398,a,162,B
399,e,57,B
400,e,162,C
401,a,160,A
402,e,2,A
403,a,94,B
404,e,165,C
405,c,55,C
406,e,122,A
407,b,112,A
408,e,85,A
409,d,92,B
410,b,179,B
411,a,155,C
412,c,147,C
413,e,55,A
414,b,147,A
415,e,144,C
416,d,153,A
417,c,171,C
418,a,117,A
419,d,102,A
420,a,92,B
421,b,36,A
422,d,33,B
423,a,56,A
424,b,100,A
425,a,44,A
426,b,154,B
427,a,48,A
428,c,39,B
429,d,99,A
430,c,38,C
431,c,99,B
432,c,51,A
433,e,105,C
434,c,58,C
435,e,4,A
436,a,14,C
437,b,165,A
438,e,86,B
439,e,66,A
440,b,183,B
441,b,131,C
442,b,39,A
443,e,70,C
444,e,194,B
445,c,69,C
446,e,79,A
447,b,5,A
448,e,26,C
449,e,116,B
450,a,141,B
451,d,124,C
452,b,103,A
453,b,50,C
454,b,11,A
455,a,102,A
456,e,60,B
457,c,85,C
458,c,162,B
459,d,54,B
460,d,58,B
461,a,21,C
462,e,53,B
463,e,171,B
464,e,160,A
465,a,152,C
466,d,184,B
467,d,86,B
468,b,99,C
469,b,48,A
470,d,86,B
471,d,80,A
472,a,33,A
473,e,119,C
474,b,104,B
475,c,62,C
476,a,89,B
477,e,86,C
478,e,163,B
479,a,19,B
480,b,5,B
481,c,41,A
482,d,123,A
483,b,35,A
484,c,38,C
485,c,162,B
486,c,16,C
487,e,71,C
488,d,61,C
489,b,174,B
490,b,108,A
491,b,7,B
492,c,40,A
493,d,28,C
494,d,174,A
495,d,77,B
496,c,160,C
497,e,145,B
498,a,62,C
499,a,146,B
500,a,161,B
501,a,101,C
502,c,29,B
503,e,120,A
504,e,165,A
505,e,80,B
506,c,3,C
507,c,141,B
508,e,130,C
509,c,70,B
510,e,62,C
511,d,140,B
512,d,8,C
513,a,110,C
514,a,152,C
515,a,86,C
516,e,70,A
517,a,125,C
518,b,73,A
519,b,1,C
520,d,137,A
521,c,85,A
522,d,24,B
523,a,102,C
524,d,104,C
525,c,169,C
526,c,51,C
527,b,175,A
528,a,132,B
529,d,29,C
530,e,47,B
531,d,18,C
532,a,138,A
533,a,26,B
534,e,29,A
535,c,140,C
536,b,128,B
537,e,111,B
538,c,11,C
539,a,143,B
540,e,149,A
541,a,166,B
542,a,6,C
543,d,1,C
544,d,21,B
545,b,30,C
546,a,55,A
547,a,51,B
548,d,20,C
549,c,80,A
550,d,165,B
551,a,125,A
552,a,44,C
553,b,109,A
554,a,199,C
555,b,80,A
556,a,181,C
557,c,34,C
558,a,12,C
559,b,80,A
560,a,39,C
561,a,123,A
562,e,138,C
563,b,45,B
564,d,34,C
565,c,113,C
566,e,86,B
567,a,51,B
568,c,87,C
569,d,4,A
570,d,42,B
571,c,161,C
572,c,97,B
573,e,61,B
574,d,178,B
575,a,39,B
576,b,114,C
577,d,67,C
578,b,21,A
579,e,98,B
580,c,117,A
581,e,187,B
582,b,4,B
583,a,28,A
584,e,58,B
585,d,68,A
586,c,34,A
587,c,25,C
588,c,120,A
589,a,21,A
590,e,132,A
591,a,85,A
592,e,139,B
593,c,110,C
594,e,146,A
595,a,114,A
596,b,136,C
597,c,173,A
598,e,144,A
599,a,166,B
600,c,102,A
601,e,164,C
602,e,149,A
603,e,123,C
604,b,172,C
605,d,26,B
606,e,62,C
607,a,44,A
608,a,66,A
609,d,169,C
610,b,42,B
611,a,190,C
612,a,158,C
613,c,159,B
614,a,157,A
615,b,54,B
616,a,78,B
617,e,73,C
618,e,181,A
619,b,99,A
620,a,126,A
621,b,21,A
622,c,43,A
623,a,154,C
624,c,186,A
625,d,138,A
626,e,49,A
627,c,56,B
628,a,181,A
629,d,2,B
630,d,110,C
631,e,188,B
632,e,165,A
633,d,25,A
634,c,8,A
635,e,30,B
636,b,5,A
637,e,83,B
638,b,161,A
639,b,104,B
640,a,93,A
641,d,105,B
642,a,162,C
643,a,142,A
644,b,172,A
645,a,59,C
646,a,196,C
647,c,23,A
648,c,112,B
649,c,146,B
650,e,115,B
651,d,15,A
652,a,141,C
653,d,53,C
654,e,106,B
655,a,64,C
656,d,29,C
657,d,111,C
658,d,168,C
659,a,185,B
660,a,11,A
661,d,53,B
662,d,117,C
663,b,97,C
664,c,132,B
665,e,25,C
666,a,179,B
667,c,171,A
668,e,71,C
669,e,102,B
670,c,103,A
671,b,100,C
672,e,41,A
673,c,17,C
674,c,125,C
675,d,117,B
676,a,102,B
677,d,23,C
678,a,139,B
679,e,189,C
680,a,57,C
681,b,65,C
682,a,41,C
683,a,56,A
684,b,146,B
685,b,36,C
686,a,151,C
687,e,132,B
688,c,97,C
689,a,16,A
690,a,116,A
691,e,73,B
692,c,22,A
693,b,43,C
694,b,111,B
695,d,187,A
696,b,137,C
697,c,46,A
698,b,34,A
699,d,152,B
700,d,113,B
701,a,62,B
702,b,22,B
703,e,35,B
704,b,130,A
705,c,79,C
706,b,154,B
707,d,29,C
708,d,122,A
709,e,81,A
710,e,121,B
711,d,117,C
712,b,81,B
713,a,50,C
714,a,62,B
715,b,45,A
716,c,29,B
717,c,116,C
718,c,13,C
719,e,59,B
720,e,62,B
721,a,74,A
722,a,133,B
723,c,19,B
724,c,182,C
725,c,115,C
726,d,8,A
727,e,67,C
728,a,122,A
729,b,45,B
730,a,55,A
731,c,195,B
732,e,125,A
733,a,29,C
734,a,8,C
735,a,176,A
736,e,171,B
737,c,57,B
738,b,119,B
739,b,85,C
740,a,9,C
741,d,167,B
742,d,105,C
743,c,74,C
744,b,14,C
745,d,98,A
746,c,32,B
747,d,189,A
748,b,7,B
749,e,84,B
750,c,161,B
751,e,84,B
752,a,130,B
753,e,117,C
754,a,1,B
755,d,144,C
756,d,140,B
757,a,195,A
758,d,37,C
759,a,35,C
760,c,176,A
761,e,33,A
762,d,196,A
763,a,104,A
764,d,18,A
765,b,132,B
766,d,163,B
767,c,7,C
768,e,53,B
769,e,186,A
770,e,156,A
771,b,109,A
772,c,102,B
773,b,199,C
774,e,161,C
775,e,28,B
776,a,136,C
777,d,131,B
778,e,37,A
779,e,11,B
780,e,67,A
781,e,126,C
782,b,15,B
783,c,50,A
784,b,42,C
785,a,122,C
786,d,131,A
787,e,114,A
788,c,17,B
789,c,6,A
790,c,87,A
791,b,102,B
792,a,37,A
793,a,76,C
794,e,172,C
795,a,66,C
796,c,3,B
797,e,53,B
798,d,118,C
799,d,36,C
800,a,140,C
801,e,1,A
802,a,170,A
803,a,178,C
804,b,184,B
805,e,10,C
806,e,173,C
807,d,35,A
808,e,64,C
809,a,49,A
810,c,6,B
811,d,152,A
812,d,67,B
813,b,33,A
814,a,48,A
815,a,177,B
816,a,118,C
817,e,117,A
818,a,119,B
819,d,198,B
820,d,120,B
821,a,174,A
822,e,66,A
823,a,12,A
824,e,112,B
825,e,68,A
826,b,56,A
827,b,130,C
828,b,104,C
829,d,86,A
830,c,159,A
831,e,75,B
832,b,180,B
833,e,96,A
834,a,191,C
835,e,120,C
836,a,150,B
837,d,7,A
838,d,140,A
839,e,81,A
840,b,161,A
841,e,18,B
842,a,184,A
843,d,94,C
844,a,60,B
845,a,119,B
846,b,176,A
847,d,193,B
848,b,30,B
849,d,32,C
850,c,177,B
851,e,15,C
852,b,81,B
853,d,105,A
854,e,86,B
855,b,82,A
856,c,40,A
857,d,32,C
858,b,11,A
859,a,183,A
860,c,73,A
861,c,43,C
862,a,152,C
863,b,8,B
864,a,122,B
865,b,69,C
866,d,192,C
867,e,12,B
868,e,83,C
869,b,135,A
870,c,196,C
871,e,65,C
872,c,1,B
873,a,45,A
874,a,10,A
875,c,118,C
876,c,167,A
877,d,199,B
878,d,76,A
879,d,160,A
880,b,46,A
881,c,160,A
882,e,17,A
883,e,118,B
884,c,39,B
885,d,71,B
886,e,33,C
887,e,65,A
888,c,66,C
889,d,158,A
890,a,180,C
891,b,48,B
892,c,4,B
893,c,182,B
894,b,196,C
895,a,67,A
896,d,141,B
897,e,173,A
898,d,74,C
899,d,79,C
900,b,56,C
901,e,189,B
902,a,170,A
903,c,1,C
904,a,102,B
905,b,120,A
906,b,155,B
907,d,192,B
908,a,152,A
909,e,125,B
910,c,125,A
911,d,68,A
912,b,126,A
913,c,170,B
914,c,189,B
915,e,43,C
916,c,157,C
917,c,48,C
918,c,167,C
919,b,59,C
920,b,154,C
921,b,38,B
922,e,54,A
923,c,45,B
924,c,91,B
925,e,67,A
926,a,14,C
927,b,27,C
928,a,172,A
929,d,178,A
930,c,122,C
931,c,158,A
932,d,156,B
933,a,137,B
934,e,141,C
935,d,181,A
936,c,36,A
937,e,141,A
938,e,17,A
939,c,123,A
940,e,129,A
941,c,119,A
942,e,12,C
943,d,148,B
944,a,116,A
945,e,136,A
946,d,34,B
947,a,163,B
948,c,68,C
949,d,135,B
950,e,49,A
951,e,180,C
952,d,57,C
953,b,130,B
954,b,63,C
955,d,73,A
956,b,177,B
957,d,139,B
958,e,56,A
959,e,1,B
960,a,105,B
961,b,166,A
962,b,75,C
963,e,163,C
964,b,138,C
965,c,118,A
966,b,107,A
967,e,94,B
968,a,157,B
969,c,29,A
970,b,141,C
971,e,52,B
972,d,1,A
973,b,95,C
974,b,33,A
975,e,13,C
976,b,20,B
977,e,161,B
978,c,146,C
979,e,121,A
980,e,77,A
981,b,83,C
982,e,173,C
983,e,76,C
984,a,128,B
985,d,67,A
986,b,25,A
987,a,166,C
988,d,90,B
989,e,29,C
990,a,19,C
991,c,6,C
992,c,47,C
993,d,54,C
994,e,32,B
995,a,192,A
996,a,140,A
997,c,105,B
998,c,33,C
999,b,69,C
1000,e,43,B
1001,a,63,B
1002,d,118,C
1003,b,23,C
1004,e,162,B
1005,c,54,C
1006,c,186,B
1007,c,182,B
1008,a,103,A
1009,d,199,B
1010,d,12,A
1011,e,171,A
1012,e,161,B
1013,e,130,C
1014,a,62,C
1015,e,134,A
1016,b,64,B
1017,e,50,C
1018,e,125,A
1019,e,60,A
1020,e,78,B
1021,e,14,C
1022,d,160,C
1023,c,60,B
1024,e,91,B
1025,b,54,A
1026,d,132,A
1027,c,98,C
1028,a,100,B
1029,e,106,B
1030,b,200,A
1031,d,163,C
1032,a,138,C
1033,c,24,B
1034,e,160,A
1035,e,2,B
1036,e,93,C
1037,c,24,B
1038,d,169,B
1039,e,57,A
1040,c,66,C
1041,c,83,C
1042,a,102,B
1043,b,135,B
1044,c,25,A
1045,c,4,C
1046,b,173,B
1047,b,49,B
1048,c,43,B
1049,e,190,A
1050,b,141,C
1051,b,13,A
1052,d,17,C
1053,b,88,C
1054,d,123,B
1055,b,26,B
1056,d,112,B
1057,a,38,C
1058,d,70,B
1059,e,39,A
1060,e,116,B
1061,c,80,B
1062,e,162,C
1063,a,174,A
1064,a,43,C
1065,a,188,C
1066,a,199,C
1067,b,96,A
1068,e,58,B
1069,b,78,A
1070,c,177,B
1071,a,126,C
1072,d,95,A
1073,a,145,B
1074,d,170,A
1075,b,27,A
1076,d,38,C
1077,b,168,B
1078,c,17,A
1079,e,189,B
1080,c,197,A
1081,d,99,B
1082,d,43,A
1083,b,190,A
1084,e,82,C
1085,a,193,B
1086,a,177,B
1087,c,122,C
1088,c,163,C
1089,c,98,B
1090,c,41,A
1091,c,138,C
1092,d,178,A
1093,a,198,C
1094,a,49,A
1095,a,18,B
1096,b,141,C
1097,b,69,A
1098,a,61,C
1099,b,88,B
1100,a,133,A
1101,c,193,B
1102,e,6,C
1103,e,82,A
1104,d,6,C
1105,c,114,C
1106,d,120,B
1107,c,186,A
1108,b,110,A
1109,c,105,B
1110,c,37,C
1111,b,160,C
1112,b,2,A
1113,d,25,C
1114,b,163,A
1115,b,54,B
1116,c,90,C
1117,c,174,A
1118,c,139,A
1119,b,88,B
1120,a,168,C
1121,c,138,A
1122,c,48,B
1123,d,49,B
1124,b,120,C
1125,a,146,A
1126,c,121,C
1127,d,135,C
1128,d,5,B
1129,d,126,C
1130,c,44,A
1131,d,190,C
1132,a,7,B
1133,b,30,B
1134,b,186,A
1135,e,142,C
1136,d,174,C
1137,b,40,B
1138,d,176,C
1139,a,174,B
1140,a,76,B
1141,e,44,B
1142,a,144,B
1143,d,154,C
1144,c,45,C
1145,c,122,A
1146,d,180,C
1147,e,132,B
1148,e,120,A
1149,d,138,C
1150,c,164,C
1151,e,25,B
1152,e,27,B
1153,b,143,C
1154,d,4,A
1155,c,168,A
1156,e,167,A
1157,b,200,C
1158,e,132,B
1159,c,69,C
1160,c,196,A
1161,c,6,C
1162,a,170,C
1163,e,117,B
1164,b,136,B
1165,a,123,B
1166,c,106,C
1167,b,104,B
1168,b,188,B
1169,e,185,B
1170,c,32,A
1171,c,135,A
1172,e,191,C
1173,c,183,A
1174,c,112,A
1175,e,36,A
1176,b,84,A
1177,b,171,C
1178,a,159,A
1179,d,191,B
1180,e,17,C
1181,d,90,B
1182,b,192,B
1183,d,76,A
1184,a,141,B
1185,b,15,C
1186,a,178,C
1187,d,33,C
1188,e,27,A
1189,b,186,A
1190,e,74,A
1191,e,8,B
1192,d,160,A
1193,b,195,C
1194,b,175,A
1195,a,167,A
1196,b,189,B
1197,c,84,C
1198,a,69,A
1199,d,122,B
1200,a,5,C
1201,c,193,B
1202,a,20,C
1203,e,70,A
1204,a,41,B
1205,a,20,B
1206,e,156,A
1207,d,94,C
1208,c,60,A
1209,a,3,A
1210,c,198,B
1211,d,46,B
1212,c,175,C
1213,e,160,C
1214,b,166,B
1215,d,144,A
1216,a,61,B
1217,b,125,B
1218,e,198,A
1219,b,51,C
1220,c,161,B
1221,d,175,B
1222,b,28,A
1223,b,2,C
1224,e,17,B
1225,c,54,A
1226,c,120,A
1227,c,96,B
1228,e,118,A
1229,c,191,A
1230,b,190,A
1231,b,125,C
1232,d,81,C
1233,a,1,A
1234,e,194,C
1235,e,82,A
1236,e,44,C
1237,b,162,A
1238,d,38,C
1239,d,110,C
1240,c,191,A
1241,d,181,A
1242,c,44,B
1243,c,166,B
1244,e,171,C
1245,b,80,A
1246,c,164,B
1247,e,109,C
1248,a,133,A
1249,c,52,C
1250,a,112,A
1251,a,85,A
1252,c,117,B
1253,d,95,A
1254,c,90,A
1255,c,84,B
1256,d,73,B
1257,c,83,C
1258,b,180,C
1259,e,165,A
1260,e,58,A
1261,e,4,A
1262,b,92,B
1263,c,92,A
1264,e,2,B
1265,b,23,C
1266,c,57,A
1267,a,120,B
1268,a,143,A
1269,c,33,B
1270,c,27,C
1271,c,110,B
1272,d,38,B
1273,e,106,C
1274,e,46,C
1275,c,137,C
1276,d,119,B
1277,c,112,C
1278,b,67,B
1279,b,48,B
1280,b,144,C
1281,a,67,A
1282,d,76,B
1283,d,86,C
1284,b,38,A
1285,a,136,B
1286,e,113,C
1287,e,99,C
1288,b,186,C
1289,a,111,B
1290,d,200,C
1291,c,86,C
1292,e,21,B
1293,c,34,B
1294,e,137,C
1295,c,84,A
1296,c,50,C
1297,c,118,A
1298,d,43,B
1299,d,64,A
1300,d,35,B
1301,e,173,A
1302,a,52,A
1303,c,110,C
1304,d,99,A
1305,d,136,B
1306,d,62,A
1307,a,138,C
1308,d,196,A
1309,c,72,C
1310,a,14,C
1311,d,78,A
1312,e,94,B
1313,a,126,B
1314,c,52,A
1315,d,60,A
1316,d,6,C
1317,e,64,C
1318,b,179,B
1319,b,32,A
1320,c,177,C
1321,e,128,C
1322,a,174,C
1323,a,110,A
1324,b,42,A
1325,a,114,A
1326,d,4,C
1327,c,32,A
1328,b,42,C
1329,c,132,C
1330,b,10,A
1331,c,152,C
1332,b,37,B
1333,a,127,A
1334,d,102,A
1335,c,44,C
1336,b,80,A
1337,d,102,A
1338,d,85,C
1339,c,15,C
1340,e,151,A
1341,e,196,C
1342,b,42,A
1343,d,28,A
1344,d,17,B
1345,c,73,C
1346,e,22,A
1347,b,10,C
1348,b,52,A
1349,d,48,B
1350,b,67,B
1351,b,134,C
1352,e,6,B
1353,a,95,B
1354,d,78,A
1355,e,163,C
1356,b,172,A
1357,b,127,B
1358,a,114,B
1359,e,5,C
1360,b,37,A
1361,d,115,A
1362,d,39,A
1363,c,197,C
1364,a,46,C
1365,c,158,A
1366,e,194,B
1367,d,136,A
1368,e,122,B
1369,a,72,B
1370,c,135,C
1371,a,101,B
1372,e,119,B
1373,b,75,A
1374,a,149,C
1375,b,120,C
1376,b,43,B
1377,d,89,C
1378,b,138,B
1379,a,128,A
1380,b,63,C
1381,c,3,C
1382,b,123,A
1383,c,92,B
1384,b,17,A
1385,d,86,B
1386,a,199,C
1387,d,194,C
1388,c,144,A
1389,d,129,B
1390,a,162,B
1391,e,92,C
1392,e,179,A
1393,b,32,B
1394,b,154,A
1395,d,63,A
1396,d,151,C
1397,d,180,B
1398,b,179,A
1399,c,106,B
1400,c,116,B
1401,a,27,A
1402,d,28,A
1403,a,170,B
1404,e,135,B
1405,d,179,A
1406,b,122,A
1407,e,105,B
1408,a,18,B
1409,a,196,B
1410,d,8,B
1411,d,4,B
1412,e,106,C
1413,d,107,A
1414,e,184,B
1415,b,132,C
1416,d,160,C
1417,d,148,B
1418,b,18,A
1419,b,53,C
1420,a,196,C
1421,b,153,C
1422,d,161,B
1423,e,103,C
1424,e,108,C
1425,e,89,B
1426,a,63,B
1427,e,18,C
1428,a,5,B
1429,e,90,B
1430,a,98,C
1431,d,173,C
1432,e,106,A
1433,c,115,B
1434,a,43,C
1435,c,135,C
1436,b,47,A
1437,b,188,C
1438,b,50,B
1439,e,45,B
1440,c,167,C
1441,a,100,A
1442,d,44,A
1443,d,171,B
1444,b,46,A
1445,a,66,A
1446,d,162,A
1447,a,169,C
1448,b,41,C
1449,d,12,B
1450,a,172,C
1451,a,93,A
1452,c,92,C
1453,c,159,A
1454,b,86,A
1455,a,65,C
1456,d,172,A
1457,b,146,A
1458,e,90,B
1459,b,186,C
1460,c,139,C
1461,e,168,A
1462,d,15,A
1463,c,90,C
1464,d,20,B
1465,c,135,B
1466,c,154,A
1467,d,100,C
1468,c,16,A
1469,b,142,C
1470,a,86,C
1471,c,194,B
1472,c,101,C
1473,e,130,A
1474,c,139,C
1475,e,165,B
1476,b,197,A
1477,a,165,B
1478,e,120,C
1479,c,196,B
1480,d,18,A
1481,a,181,A
1482,b,38,B
1483,b,31,C
1484,b,30,B
1485,e,185,C
1486,c,110,B
1487,e,145,A
1488,a,7,B
1489,d,169,C
1490,c,132,C
1491,c,36,B
1492,c,98,C
1493,a,53,A
1494,c,120,B
1495,b,136,C
1496,b,22,B
1497,d,68,B
1498,c,125,B
1499,a,168,C
1500,e,33,A
1501,c,149,C
1502,c,185,A
1503,d,144,A
1504,b,145,B
1505,e,132,A
1506,a,82,C
1507,b,136,B
1508,e,86,B
1509,b,64,C
1510,c,86,A
1511,a,8,A
1512,c,195,B
1513,d,37,C
1514,e,160,B
1515,c,138,B
1516,c,23,B
1517,d,127,C
1518,a,167,A
1519,d,136,A
1520,b,173,C
1521,b,185,B
1522,d,165,A
1523,a,163,C
1524,a,104,B
1525,a,102,C
1526,a,115,C
1527,b,27,A
1528,a,180,A
1529,d,138,A
1530,b,85,A
1531,e,97,C
1532,e,85,B
1533,d,67,A
1534,c,11,B
1535,d,187,B
1536,e,76,B
1537,a,86,B
1538,e,163,C
1539,d,137,C
1540,c,17,B
1541,c,14,A
1542,c,148,A
1543,c,116,C
1544,b,12,A
1545,d,177,B
1546,e,64,C
1547,a,67,C
1548,e,104,A
1549,a,115,A
1550,d,167,A
1551,c,185,A
1552,d,200,C
1553,d,16,B
1554,b,88,B
1555,a,10,B
1556,e,159,A
1557,e,20,C
1558,a,42,B
1559,a,46,B
1560,d,3,C
1561,c,96,C
1562,e,115,C
1563,b,5,B
1564,e,147,B
1565,e,98,A
1566,c,9,C
1567,d,177,A
1568,c,140,C
1569,e,69,B
1570,b,39,C
1571,d,60,C
1572,e,60,B
1573,d,64,B
1574,d,182,C
1575,c,71,C
1576,b,185,A
1577,b,1,C
1578,b,140,B
1579,b,70,C
1580,e,8,B
1581,c,31,C
1582,c,159,A
1583,b,86,B
1584,a,170,B
1585,a,15,B
1586,b,156,C
1587,e,116,A
1588,e,46,B
1589,e,142,C
1590,c,18,B
1591,a,70,B
1592,b,152,C
1593,a,144,A
1594,b,187,B
1595,d,62,C
1596,a,187,B
1597,a,82,B
1598,b,6,A
1599,c,101,A
1600,c,200,A
1601,a,162,A
1602,e,37,C
1603,c,169,A
1604,d,16,C
1605,a,112,B
1606,c,156,C
1607,a,83,A
1608,c,113,C
1609,c,14,C
1610,c,195,C
1611,b,155,A
1612,a,4,C
1613,d,172,B
1614,a,58,B
1615,b,132,A
1616,b,53,B
1617,d,86,B
1618,d,46,C
1619,d,154,A
1620,b,3,A
1621,a,82,A
1622,a,72,C
1623,e,125,B
1624,e,115,B
1625,c,171,C
1626,a,181,A
1627,e,82,C
1628,b,29,A
1629,e,193,B
1630,c,197,B
1631,a,167,B
1632,a,187,A
1633,a,78,A
1634,b,82,C
1635,e,71,A
1636,d,118,C
1637,c,76,C
1638,c,132,B
1639,c,62,B
1640,e,97,B
1641,b,113,A
1642,b,156,C
1643,b,149,C
1644,b,24,A
1645,c,118,C
1646,b,189,B
1647,d,33,A
1648,c,120,B
1649,a,102,C
1650,d,18,C
1651,a,80,B
1652,b,141,B
1653,e,70,A
1654,e,39,C
1655,a,61,B
1656,b,46,C
1657,d,152,B
1658,a,103,A
1659,a,116,C
1660,d,139,C
1661,e,161,A
