mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name
32.2,4,108,75,2265,15.2,80,"""C3""","""toyota corolla"""
17,8,305,130,3840,15.4,79,"""C1""","""chevrolet caprice classic"""
25,4,104,95,2375,17.5,70,"""C2""","""saab 99e"""
29.8,4,134,90,2711,15.5,80,"""C3""","""toyota corona liftback"""
27.4,4,121,80,2670,15,79,"""C1""","""amc spirit dl"""
22,4,140,72,2408,19,71,"""C1""","""chevrolet vega (sw)"""
21,6,199,90,2648,15,70,"""C1""","""amc gremlin"""
28,4,98,80,2164,15,72,"""C1""","""dodge colt (sw)"""
24,4,140,92,2865,16.4,82,"""C1""","""ford fairmont futura"""
33.5,4,98,83,2075,15.9,77,"""C1""","""dodge colt m/m"""
15,8,350,145,4440,14,75,"""C1""","""chevrolet bel air"""
39.4,4,85,70,2070,18.6,78,"""C3""","""datsun b210 gx"""
14,8,304,150,4257,15.5,74,"""C1""","""amc matador (sw)"""
22.5,6,232,90,3085,17.6,76,"""C1""","""amc hornet"""
20.8,6,200,85,3070,16.7,78,"""C1""","""mercury zephyr"""
14,8,400,175,4464,11.5,71,"""C1""","""pontiac catalina brougham"""
13,8,350,145,4055,12,76,"""C1""","""chevy c10"""
24,4,107,90,2430,14.5,70,"""C2""","""audi 100 ls"""
17.5,8,305,140,4215,13,76,"""C1""","""chevrolet chevelle malibu classic"""
20.5,6,225,100,3430,17.2,78,"""C1""","""plymouth volare"""
27.2,4,141,71,3190,24.8,79,"""C2""","""peugeot 504"""
14,8,455,225,3086,10,70,"""C1""","""buick estate wagon (sw)"""
25,4,90,71,2223,16.5,75,"""C2""","""volkswagen dasher"""
24,4,120,97,2489,15,74,"""C3""","""honda civic"""
25,4,110,87,2672,17.5,70,"""C2""","""peugeot 504"""
15,8,429,198,4341,10,70,"""C1""","""ford galaxie 500"""
24,4,107,90,2430,14.5,70,"""C2""","""audi 100 ls"""
14,8,302,137,4042,14.5,73,"""C1""","""ford gran torino"""
44,4,97,52,2130,24.6,82,"""C2""","""vw pickup"""
28,4,112,88,2605,19.6,82,"""C1""","""chevrolet cavalier"""
16,6,250,105,3897,18.5,75,"""C1""","""chevroelt chevelle malibu"""
31,4,79,67,2000,16,74,"""C2""","""fiat x1.9"""
21.5,3,80,110,2720,13.5,77,"""C3""","""mazda rx-4"""
37,4,85,65,1975,19.4,81,"""C3""","""datsun 210 mpg"""
17,6,231,110,3907,21,75,"""C1""","""buick century"""
20.2,6,200,88,3060,17.1,81,"""C1""","""ford granada gl"""
37,4,85,65,1975,19.4,81,"""C3""","""datsun 210 mpg"""
13,8,350,165,4274,12,72,"""C1""","""chevrolet impala"""
17,6,231,110,3907,21,75,"""C1""","""buick century"""
25.5,4,122,96,2300,15.5,77,"""C1""","""plymouth arrow gs"""
20.3,5,131,103,2830,15.9,78,"""C2""","""audi 5000"""
23,4,122,86,2220,14,71,"""C1""","""mercury capri 2000"""
24,4,119,97,2545,17,75,"""C3""","""datsun 710"""
20.2,6,200,85,2965,15.8,78,"""C1""","""ford fairmont (auto)"""
38,4,91,67,1965,15,82,"""C3""","""honda civic"""
37,4,85,65,1975,19.4,81,"""C3""","""datsun 210 mpg"""
27,4,140,86,2790,15.6,82,"""C1""","""ford mustang gl"""
11,8,400,150,4997,14,73,"""C1""","""chevrolet impala"""
14,8,400,175,4464,11.5,71,"""C1""","""pontiac catalina brougham"""
27,4,112,88,2640,18.6,82,"""C1""","""chevrolet cavalier wagon"""
27.4,4,121,80,2670,15,79,"""C1""","""amc spirit dl"""
24.5,4,151,88,2740,16,77,"""C1""","""pontiac sunbird coupe"""
31.5,4,89,71,1990,14.9,78,"""C2""","""volkswagen scirocco"""
26.4,4,140,88,2870,18.1,80,"""C1""","""ford fairmont"""
27,4,112,88,2640,18.6,82,"""C1""","""chevrolet cavalier wagon"""
16,8,302,140,4141,14,74,"""C1""","""ford gran torino"""
27,4,151,90,2735,18,82,"""C1""","""pontiac phoenix"""
36,4,120,88,2160,14.5,82,"""C3""","""nissan stanza xe"""
27,4,140,86,2790,15.6,82,"""C1""","""ford mustang gl"""
15,8,350,145,4082,13,73,"""C1""","""chevrolet monte carlo s"""
19.4,8,318,140,3735,13.2,78,"""C1""","""dodge diplomat"""
37,4,91,68,2025,18.2,82,"""C3""","""mazda glc custom l"""
15,6,258,110,3730,19,75,"""C1""","""amc matador"""
23,4,120,88,2957,17,75,"""C2""","""peugeot 504"""
33,4,91,53,1795,17.4,76,"""C3""","""honda civic"""
25.5,4,140,89,2755,15.8,77,"""C1""","""ford mustang ii 2+2"""
31,4,79,67,2000,16,74,"""C2""","""fiat x1.9"""
24.5,4,151,88,2740,16,77,"""C1""","""pontiac sunbird coupe"""
35.1,4,81,60,1760,16.1,81,"""C3""","""honda civic 1300"""
31,4,119,82,2720,19.4,82,"""C1""","""chevy s-10"""
19,6,232,100,2634,13,71,"""C1""","""amc gremlin"""
25,4,121,115,2671,13.5,75,"""C2""","""saab 99le"""
24.5,4,151,88,2740,16,77,"""C1""","""pontiac sunbird coupe"""
21.6,4,121,115,2795,15.7,78,"""C2""","""saab 99gle"""
37,4,91,68,2025,18.2,82,"""C3""","""mazda glc custom l"""
23.2,4,156,105,2745,16.7,78,"""C1""","""plymouth sapporo"""
33,4,105,74,2190,14.2,81,"""C2""","""volkswagen jetta"""
26,4,116,75,2246,14,74,"""C2""","""fiat 124 tc"""
36.1,4,91,60,1800,16.4,78,"""C3""","""honda civic cvcc"""
29.5,4,97,71,1825,12.2,76,"""C2""","""volkswagen rabbit"""
16,8,400,180,4220,11.1,77,"""C1""","""pontiac grand prix lj"""
16,6,258,110,3632,18,74,"""C1""","""amc matador"""
35,4,122,88,2500,15.1,80,"""C2""","""triumph tr7 coupe"""
27.5,4,134,95,2560,14.2,78,"""C3""","""toyota corona"""
17.5,8,305,145,3880,12.5,77,"""C1""","""chevrolet caprice classic"""
14,8,302,137,4042,14.5,73,"""C1""","""ford gran torino"""
14,8,302,137,4042,14.5,73,"""C1""","""ford gran torino"""
31,4,119,82,2720,19.4,82,"""C1""","""chevy s-10"""
18.5,6,250,110,3645,16.2,76,"""C1""","""pontiac ventura sj"""
30.9,4,105,75,2230,14.5,78,"""C1""","""dodge omni"""
18.1,6,258,120,3410,15.1,78,"""C1""","""amc concord d/l"""
14,8,351,148,4657,13.5,75,"""C1""","""ford ltd"""
13,8,307,130,4098,14,72,"""C1""","""chevrolet chevelle concours (sw)"""
11,8,400,150,4997,14,73,"""C1""","""chevrolet impala"""
32.1,4,98,70,2120,15.5,80,"""C1""","""chevrolet chevette"""
15,8,400,150,3761,9.5,70,"""C1""","""chevrolet monte carlo"""
24,4,113,95,2372,15,70,"""C3""","""toyota corona mark ii"""
11,8,400,150,4997,14,73,"""C1""","""chevrolet impala"""
24,4,134,96,2702,13.5,75,"""C3""","""toyota corona"""
11,8,350,180,3664,11,73,"""C1""","""oldsmobile omega"""
33,4,91,53,1795,17.4,76,"""C3""","""honda civic"""
20.3,5,131,103,2830,15.9,78,"""C2""","""audi 5000"""
30.9,4,105,75,2230,14.5,78,"""C1""","""dodge omni"""
12,8,350,180,4499,12.5,73,"""C1""","""oldsmobile vista cruiser"""
13,8,360,175,3821,11,73,"""C1""","""amc ambassador brougham"""
37,4,85,65,1975,19.4,81,"""C3""","""datsun 210 mpg"""
15,6,250,72,3158,19.5,75,"""C1""","""ford maverick"""
26.5,4,140,72,2565,13.6,76,"""C1""","""ford pinto"""
30.9,4,105,75,2230,14.5,78,"""C1""","""dodge omni"""
14,8,455,225,3086,10,70,"""C1""","""buick estate wagon (sw)"""
19,6,232,100,2901,16,74,"""C1""","""amc hornet"""
15.5,8,350,170,4165,11.4,77,"""C1""","""chevrolet monte carlo landau"""
29,4,135,84,2525,16,82,"""C1""","""dodge aries se"""
13,8,360,170,4654,13,73,"""C1""","""plymouth custom suburb"""
12,8,429,198,4952,11.5,73,"""C1""","""mercury marquis brougham"""
32,4,91,67,1965,15.7,82,"""C3""","""honda civic (auto)"""
31,4,71,65,1773,19,71,"""C3""","""toyota corolla 1200"""
31,4,112,85,2575,16.2,82,"""C1""","""pontiac j2000 se hatchback"""
19,4,121,112,2868,15.5,73,"""C2""","""volvo 144ea"""
23.9,4,119,97,2405,14.9,78,"""C3""","""datsun 200-sx"""
25,6,181,110,2945,16.4,82,"""C1""","""buick century limited"""
16,8,400,230,4278,9.5,73,"""C1""","""pontiac grand prix"""
10,8,307,200,4376,15,70,"""C1""","""chevy c20"""
14,8,302,140,4638,16,74,"""C1""","""ford gran torino (sw)"""
44.3,4,90,48,2085,21.7,80,"""C2""","""vw rabbit c (diesel)"""
29,4,97,75,2171,16,75,"""C3""","""toyota corolla"""
31,4,112,85,2575,16.2,82,"""C1""","""pontiac j2000 se hatchback"""
25,4,113,95,2228,14,71,"""C3""","""toyota corona"""
26,4,116,75,2246,14,74,"""C2""","""fiat 124 tc"""
20.2,6,200,88,3060,17.1,81,"""C1""","""ford granada gl"""
32,4,85,70,1990,17,76,"""C3""","""datsun b-210"""
33.5,4,85,70,1945,16.8,77,"""C3""","""datsun f-10 hatchback"""
23,4,122,86,2220,14,71,"""C1""","""mercury capri 2000"""
17.5,8,305,145,3880,12.5,77,"""C1""","""chevrolet caprice classic"""
15,8,350,145,4082,13,73,"""C1""","""chevrolet monte carlo s"""
14,8,318,150,4237,14.5,73,"""C1""","""plymouth fury gran sedan"""
26,4,121,113,2234,12.5,70,"""C2""","""bmw 2002"""
29.9,4,98,65,2380,20.7,81,"""C1""","""ford escort 2h"""
14,8,318,150,4077,14,72,"""C1""","""plymouth satellite custom (sw)"""
23,6,198,95,2904,16,73,"""C1""","""plymouth duster"""
29.8,4,134,90,2711,15.5,80,"""C3""","""toyota corona liftback"""
28,4,112,88,2605,19.6,82,"""C1""","""chevrolet cavalier"""
19,6,232,100,2901,16,74,"""C1""","""amc hornet"""
32,4,85,70,1990,17,76,"""C3""","""datsun b-210"""
16,6,258,110,3632,18,74,"""C1""","""amc matador"""
26,4,121,113,2234,12.5,70,"""C2""","""bmw 2002"""
12,8,455,225,4951,11,73,"""C1""","""buick electra 225 custom"""
23,4,140,83,2639,17,75,"""C1""","""ford pinto"""
35.7,4,98,80,1915,14.4,79,"""C1""","""dodge colt hatchback custom"""
14,8,351,153,4129,13,72,"""C1""","""ford galaxie 500"""
30.7,6,145,76,3160,19.6,81,"""C2""","""volvo diesel"""
20.3,5,131,103,2830,15.9,78,"""C2""","""audi 5000"""
20.2,6,200,88,3060,17.1,81,"""C1""","""ford granada gl"""
14,8,400,175,4464,11.5,71,"""C1""","""pontiac catalina brougham"""
31,4,119,82,2720,19.4,82,"""C1""","""chevy s-10"""
15,6,250,72,3432,21,75,"""C1""","""mercury monarch"""
26.5,4,140,72,2565,13.6,76,"""C1""","""ford pinto"""
37,4,85,65,1975,19.4,81,"""C3""","""datsun 210 mpg"""
43.4,4,90,48,2335,23.7,80,"""C2""","""vw dasher (diesel)"""
24,4,121,110,2660,14,73,"""C2""","""saab 99le"""
27,4,112,88,2640,18.6,82,"""C1""","""chevrolet cavalier wagon"""
18,6,225,105,3121,16.5,73,"""C1""","""plymouth valiant"""
23,4,140,83,2639,17,75,"""C1""","""ford pinto"""
21,6,199,90,2648,15,70,"""C1""","""amc gremlin"""
16,8,351,149,4335,14.5,77,"""C1""","""ford thunderbird"""
31,4,119,82,2720,19.4,82,"""C1""","""chevy s-10"""
16,8,302,140,4141,14,74,"""C1""","""ford gran torino"""
17.6,8,302,129,3725,13.4,79,"""C1""","""ford ltd landau"""
31.5,4,89,71,1990,14.9,78,"""C2""","""volkswagen scirocco"""
19,6,232,100,2901,16,74,"""C1""","""amc hornet"""
24,4,121,110,2660,14,73,"""C2""","""saab 99le"""
26,4,91,70,1955,20.5,71,"""C1""","""plymouth cricket"""
14,8,318,150,4096,13,71,"""C1""","""plymouth fury iii"""
38,4,105,63,2125,14.7,82,"""C1""","""plymouth horizon miser"""
28,4,140,90,2264,15.5,71,"""C1""","""chevrolet vega 2300"""
25,4,90,71,2223,16.5,75,"""C2""","""volkswagen dasher"""
20.5,6,225,100,3430,17.2,78,"""C1""","""plymouth volare"""
15,8,318,150,3777,12.5,73,"""C1""","""dodge coronet custom"""
13,8,307,130,4098,14,72,"""C1""","""chevrolet chevelle concours (sw)"""
11,8,400,150,4997,14,73,"""C1""","""chevrolet impala"""
11,8,429,208,4633,11,72,"""C1""","""mercury marquis"""
23.8,4,151,85,2855,17.6,78,"""C1""","""oldsmobile starfire sx"""
14,8,455,225,3086,10,70,"""C1""","""buick estate wagon (sw)"""
27,4,151,90,2950,17.3,82,"""C1""","""chevrolet camaro"""
29.5,4,97,71,1825,12.2,76,"""C2""","""volkswagen rabbit"""
30.5,4,97,78,2190,14.1,77,"""C2""","""volkswagen dasher"""
24.5,4,98,60,2164,22.1,76,"""C1""","""chevrolet woody"""
34.7,4,105,63,2215,14.9,81,"""C1""","""plymouth horizon 4"""
24.5,4,151,88,2740,16,77,"""C1""","""pontiac sunbird coupe"""
17,6,231,110,3907,21,75,"""C1""","""buick century"""
20.3,5,131,103,2830,15.9,78,"""C2""","""audi 5000"""
29,4,90,70,1937,14.2,76,"""C2""","""vw rabbit"""
29.9,4,98,65,2380,20.7,81,"""C1""","""ford escort 2h"""
14,8,455,225,4425,10,70,"""C1""","""pontiac catalina"""
20.3,5,131,103,2830,15.9,78,"""C2""","""audi 5000"""
29,4,135,84,2525,16,82,"""C1""","""dodge aries se"""
32.2,4,108,75,2265,15.2,80,"""C3""","""toyota corolla"""
37,4,85,65,1975,19.4,81,"""C3""","""datsun 210 mpg"""
15,8,429,198,4341,10,70,"""C1""","""ford galaxie 500"""
18.1,6,258,120,3410,15.1,78,"""C1""","""amc concord d/l"""
27,4,140,86,2790,15.6,82,"""C1""","""ford mustang gl"""
32.8,4,78,52,1985,19.4,78,"""C3""","""mazda glc deluxe"""
18,6,250,78,3574,21,76,"""C1""","""ford granada ghia"""
11,8,350,180,3664,11,73,"""C1""","""oldsmobile omega"""
24.5,4,98,60,2164,22.1,76,"""C1""","""chevrolet woody"""
24,4,113,95,2372,15,70,"""C3""","""toyota corona mark ii"""
13,8,440,215,4735,11,73,"""C1""","""chrysler new yorker brougham"""
20.5,6,231,105,3425,16.9,77,"""C1""","""buick skylark"""
13,8,350,145,3988,13,73,"""C1""","""chevrolet malibu"""
25.8,4,156,92,2620,14.4,81,"""C1""","""dodge aries wagon (sw)"""
26,4,96,69,2189,18,72,"""C2""","""renault 12 (sw)"""
21,4,122,86,2226,16.5,72,"""C1""","""ford pinto runabout"""
23.2,4,156,105,2745,16.7,78,"""C1""","""plymouth sapporo"""
13,8,350,150,4699,14.5,74,"""C1""","""buick century luxus (sw)"""
21.5,3,80,110,2720,13.5,77,"""C3""","""mazda rx-4"""
17,6,163,125,3140,13.6,78,"""C2""","""volvo 264gl"""
23,4,120,88,2957,17,75,"""C2""","""peugeot 504"""
23.9,4,119,97,2405,14.9,78,"""C3""","""datsun 200-sx"""
37.7,4,89,62,2050,17.3,81,"""C3""","""toyota tercel"""
38,4,105,63,2125,14.7,82,"""C1""","""plymouth horizon miser"""
34.1,4,91,68,1985,16,81,"""C3""","""mazda glc 4"""
15,8,350,145,4082,13,73,"""C1""","""chevrolet monte carlo s"""
34.1,4,91,68,1985,16,81,"""C3""","""mazda glc 4"""
26.5,4,140,72,2565,13.6,76,"""C1""","""ford pinto"""
18,4,121,112,2933,14.5,72,"""C2""","""volvo 145e (sw)"""
20,8,262,110,3221,13.5,75,"""C1""","""chevrolet monza 2+2"""
43.4,4,90,48,2335,23.7,80,"""C2""","""vw dasher (diesel)"""
18.1,6,258,120,3410,15.1,78,"""C1""","""amc concord d/l"""
23,6,198,95,2904,16,73,"""C1""","""plymouth duster"""
37.7,4,89,62,2050,17.3,81,"""C3""","""toyota tercel"""
15,8,429,198,4341,10,70,"""C1""","""ford galaxie 500"""
11,8,400,150,4997,14,73,"""C1""","""chevrolet impala"""
31.5,4,89,71,1990,14.9,78,"""C2""","""volkswagen scirocco"""
21.6,4,121,115,2795,15.7,78,"""C2""","""saab 99gle"""
31.5,4,98,68,2045,18.5,77,"""C3""","""honda accord cvcc"""
17,8,304,150,3672,11.5,72,"""C1""","""amc ambassador sst"""
25.4,5,183,77,3530,20.1,79,"""C2""","""mercedes benz 300d"""
19,6,250,100,3282,15,71,"""C1""","""pontiac firebird"""
34.4,4,98,65,2045,16.2,81,"""C1""","""ford escort 4w"""
17.6,8,302,129,3725,13.4,79,"""C1""","""ford ltd landau"""
16.9,8,350,155,4360,14.9,79,"""C1""","""buick estate wagon (sw)"""
31.5,4,89,71,1990,14.9,78,"""C2""","""volkswagen scirocco"""
33.5,4,85,70,1945,16.8,77,"""C3""","""datsun f-10 hatchback"""
37,4,91,68,2025,18.2,82,"""C3""","""mazda glc custom l"""
31.5,4,89,71,1990,14.9,78,"""C2""","""volkswagen scirocco"""
30.7,6,145,76,3160,19.6,81,"""C2""","""volvo diesel"""
34.7,4,105,63,2215,14.9,81,"""C1""","""plymouth horizon 4"""
27.5,4,134,95,2560,14.2,78,"""C3""","""toyota corona"""
27.4,4,121,80,2670,15,79,"""C1""","""amc spirit dl"""
25,4,90,71,2223,16.5,75,"""C2""","""volkswagen dasher"""
29,4,98,83,2219,16.5,74,"""C2""","""audi fox"""
27,4,101,83,2202,15.3,76,"""C2""","""renault 12tl"""
31,4,91,68,1970,17.6,82,"""C3""","""mazda glc custom"""
16,6,250,100,3278,18,73,"""C1""","""chevrolet nova custom"""
37.2,4,86,65,2019,16.4,80,"""C3""","""datsun 310"""
21,4,120,87,2979,19.5,72,"""C2""","""peugeot 504 (sw)"""
16,6,258,110,3632,18,74,"""C1""","""amc matador"""
36,4,120,88,2160,14.5,82,"""C3""","""nissan stanza xe"""
16,6,250,105,3897,18.5,75,"""C1""","""chevroelt chevelle malibu"""
14,8,318,150,4096,13,71,"""C1""","""plymouth fury iii"""
33,4,91,53,1795,17.5,75,"""C3""","""honda civic cvcc"""
23.7,3,70,100,2420,12.5,80,"""C3""","""mazda rx-7 gs"""
14,8,304,150,4257,15.5,74,"""C1""","""amc matador (sw)"""
32,4,85,70,1990,17,76,"""C3""","""datsun b-210"""
30,4,146,67,3250,21.8,80,"""C2""","""mercedes-benz 240d"""
16,8,400,230,4278,9.5,73,"""C1""","""pontiac grand prix"""
28.8,6,173,115,2595,11.3,79,"""C1""","""chevrolet citation"""
18.1,6,258,120,3410,15.1,78,"""C1""","""amc concord d/l"""
20,4,130,102,3150,15.7,76,"""C2""","""volvo 245"""
36.1,4,91,60,1800,16.4,78,"""C3""","""honda civic cvcc"""
29,4,90,70,1937,14.2,76,"""C2""","""vw rabbit"""
14,8,400,175,4385,12,72,"""C1""","""pontiac catalina"""
30.7,6,145,76,3160,19.6,81,"""C2""","""volvo diesel"""
14,8,351,153,4154,13.5,71,"""C1""","""ford galaxie 500"""
20.5,6,225,100,3430,17.2,78,"""C1""","""plymouth volare"""
33.5,4,98,83,2075,15.9,77,"""C1""","""dodge colt m/m"""
33,4,91,53,1795,17.4,76,"""C3""","""honda civic"""
18,6,232,100,2945,16,73,"""C1""","""amc hornet"""
31,4,79,67,2000,16,74,"""C2""","""fiat x1.9"""
19,4,121,112,2868,15.5,73,"""C2""","""volvo 144ea"""
20.6,6,231,105,3380,15.8,78,"""C1""","""buick century special"""
30,4,88,76,2065,14.5,71,"""C2""","""fiat 124b"""
16,6,250,100,3278,18,73,"""C1""","""chevrolet nova custom"""
25.1,4,140,88,2720,15.4,78,"""C1""","""ford fairmont (man)"""
29.5,4,97,71,1825,12.2,76,"""C2""","""volkswagen rabbit"""
37,4,91,68,2025,18.2,82,"""C3""","""mazda glc custom l"""
26,4,121,113,2234,12.5,70,"""C2""","""bmw 2002"""
32,4,144,96,2665,13.9,82,"""C3""","""toyota celica gt"""
13,8,302,140,4294,16,72,"""C1""","""ford gran torino (sw)"""
15,8,429,198,4341,10,70,"""C1""","""ford galaxie 500"""
26,4,79,67,1963,15.5,74,"""C2""","""volkswagen dasher"""
12,8,350,180,4499,12.5,73,"""C1""","""oldsmobile vista cruiser"""
17.5,6,250,110,3520,16.4,77,"""C1""","""chevrolet concours"""
31.5,4,89,71,1990,14.9,78,"""C2""","""volkswagen scirocco"""
32.2,4,108,75,2265,15.2,80,"""C3""","""toyota corolla"""
34.7,4,105,63,2215,14.9,81,"""C1""","""plymouth horizon 4"""
17,6,231,110,3907,21,75,"""C1""","""buick century"""
27,4,97,88,2130,14.5,70,"""C3""","""datsun pl510"""
31.5,4,89,71,1990,14.9,78,"""C2""","""volkswagen scirocco"""
25,6,181,110,2945,16.4,82,"""C1""","""buick century limited"""
34.7,4,105,63,2215,14.9,81,"""C1""","""plymouth horizon 4"""
15,8,383,170,3563,10,70,"""C1""","""dodge challenger se"""
14,8,351,148,4657,13.5,75,"""C1""","""ford ltd"""
20,8,262,110,3221,13.5,75,"""C1""","""chevrolet monza 2+2"""
37,4,91,68,2025,18.2,82,"""C3""","""mazda glc custom l"""
31.6,4,120,74,2635,18.3,81,"""C3""","""mazda 626"""
20,4,130,102,3150,15.7,76,"""C2""","""volvo 245"""
24,4,113,95,2372,15,70,"""C3""","""toyota corona mark ii"""
25.5,4,140,89,2755,15.8,77,"""C1""","""ford mustang ii 2+2"""
22,6,198,95,2833,15.5,70,"""C1""","""plymouth duster"""
21,4,122,86,2226,16.5,72,"""C1""","""ford pinto runabout"""
23.7,3,70,100,2420,12.5,80,"""C3""","""mazda rx-7 gs"""
21,6,199,90,2648,15,70,"""C1""","""amc gremlin"""
16,6,250,100,3278,18,73,"""C1""","""chevrolet nova custom"""
29.9,4,98,65,2380,20.7,81,"""C1""","""ford escort 2h"""
25,4,90,71,2223,16.5,75,"""C2""","""volkswagen dasher"""
28.8,6,173,115,2595,11.3,79,"""C1""","""chevrolet citation"""
22,6,250,105,3353,14.5,76,"""C1""","""chevrolet nova"""
21.6,4,121,115,2795,15.7,78,"""C2""","""saab 99gle"""
31,4,112,85,2575,16.2,82,"""C1""","""pontiac j2000 se hatchback"""
25,4,110,87,2672,17.5,70,"""C2""","""peugeot 504"""
23,4,140,83,2639,17,75,"""C1""","""ford pinto"""
25,4,110,87,2672,17.5,70,"""C2""","""peugeot 504"""
16,6,225,105,3439,15.5,71,"""C1""","""plymouth satellite custom"""
20.3,5,131,103,2830,15.9,78,"""C2""","""audi 5000"""
14,8,455,225,4425,10,70,"""C1""","""pontiac catalina"""
29.9,4,98,65,2380,20.7,81,"""C1""","""ford escort 2h"""
20.5,6,225,100,3430,17.2,78,"""C1""","""plymouth volare"""
21,6,199,90,2648,15,70,"""C1""","""amc gremlin"""
24.5,4,151,88,2740,16,77,"""C1""","""pontiac sunbird coupe"""
44.3,4,90,48,2085,21.7,80,"""C2""","""vw rabbit c (diesel)"""
29.5,4,97,71,1825,12.2,76,"""C2""","""volkswagen rabbit"""
23,8,350,125,3900,17.4,79,"""C1""","""cadillac eldorado"""
34.1,4,91,68,1985,16,81,"""C3""","""mazda glc 4"""
14,8,304,150,4257,15.5,74,"""C1""","""amc matador (sw)"""
17.5,8,305,140,4215,13,76,"""C1""","""chevrolet chevelle malibu classic"""
11,8,400,150,4997,14,73,"""C1""","""chevrolet impala"""
23.7,3,70,100,2420,12.5,80,"""C3""","""mazda rx-7 gs"""
37.7,4,89,62,2050,17.3,81,"""C3""","""toyota tercel"""
20,4,114,91,2582,14,73,"""C2""","""audi 100ls"""
21.6,4,121,115,2795,15.7,78,"""C2""","""saab 99gle"""
26,4,121,113,2234,12.5,70,"""C2""","""bmw 2002"""
18,6,232,100,2945,16,73,"""C1""","""amc hornet"""
28,4,107,86,2464,15.5,76,"""C2""","""fiat 131"""
15,6,258,110,3730,19,75,"""C1""","""amc matador"""
21.6,4,121,115,2795,15.7,78,"""C2""","""saab 99gle"""
30.9,4,105,75,2230,14.5,78,"""C1""","""dodge omni"""
32.2,4,108,75,2265,15.2,80,"""C3""","""toyota corolla"""
11,8,400,150,4997,14,73,"""C1""","""chevrolet impala"""
32.9,4,119,100,2615,14.8,81,"""C3""","""datsun 200sx"""
13,8,360,175,3821,11,73,"""C1""","""amc ambassador brougham"""
31,4,119,82,2720,19.4,82,"""C1""","""chevy s-10"""
14,8,318,150,4096,13,71,"""C1""","""plymouth fury iii"""
14,8,351,153,4129,13,72,"""C1""","""ford galaxie 500"""
31,4,112,85,2575,16.2,82,"""C1""","""pontiac j2000 se hatchback"""
15,6,258,110,3730,19,75,"""C1""","""amc matador"""
27,4,151,90,2735,18,82,"""C1""","""pontiac phoenix"""
23.9,4,119,97,2405,14.9,78,"""C3""","""datsun 200-sx"""
23,4,120,88,2957,17,75,"""C2""","""peugeot 504"""
21,6,200,85,2587,16,70,"""C1""","""ford maverick"""
20.3,5,131,103,2830,15.9,78,"""C2""","""audi 5000"""
14,8,304,150,4257,15.5,74,"""C1""","""amc matador (sw)"""
44.6,4,91,67,1850,13.8,80,"""C3""","""honda civic 1500 gl"""
35.7,4,98,80,1915,14.4,79,"""C1""","""dodge colt hatchback custom"""
14,8,455,225,4425,10,70,"""C1""","""pontiac catalina"""
12,8,429,198,4952,11.5,73,"""C1""","""mercury marquis brougham"""
31,4,112,85,2575,16.2,82,"""C1""","""pontiac j2000 se hatchback"""
